country_code,year,gdp_growth_pct,inflation_pct,lpi_overall_legacy,trade_openness_pct_gdp
GHA,2013,7.31252501678145,11.6661923071729,,49.8872461359282
GHA,2014,2.85624016330883,15.4896160333318,2.626934,50.8737123397321
GHA,2015,2.12075933817334,17.1499695007878,,48.1139495320654
GHA,2016,3.37346574966936,17.4546347070868,2.660931,42.8503902951703
GHA,2017,8.12889488100956,12.3719215507048,,43.8549647138993
GHA,2018,6.20007768127284,7.80876516610703,2.57,41.7443795466076
GHA,2019,6.5077747939152,7.14364003330857,,42.5426209945473
GHA,2020,0.513941670628171,9.88728956269944,,38.4254746538806
GHA,2021,5.07646643533542,9.9710886750444,,35.6615526699214
GHA,2022,3.80484978178042,31.2558951049016,2.5,43.1512853446266
GHA,2023,3.14009100080186,38.1069656296501,,38.129221445048
GHA,2024,5.84746854280382,22.8483281157842,,41.4906793642673
GIN,2008,4.13301615965833,23.065612938798,,38.8846929077576
GIN,2009,-1.12264204848687,4.68438868976504,,31.4132758060335
GIN,2010,4.81336016967553,15.0502688559001,2.6,41.9641611892081
GIN,2011,5.61211177430975,21.3169268542577,,52.1581199310507
GIN,2012,5.91528626133322,15.2262941038638,2.48,54.7522336230856
GIN,2013,3.94568708624053,11.8875884481828,,44.8271844271033
GIN,2014,3.69655311664086,6.1505055670642,2.464191,50.5554874010367
GIN,2015,3.82591056949435,11.7800825029834,,45.1774944011485
GIN,2016,10.82062719659,8.17268112275132,2.35896,79.6072085402517
GIN,2017,10.3000053427355,8.91435947913097,,78.2398018789907
GIN,2018,6.35849192736715,9.82761701259191,2.2,62.1066133104135
GIN,2019,5.61691446889876,9.47001039253012,,55.1593870245608
GIN,2020,4.70459096113575,10.6016203387167,,89.8450930295602
GIN,2021,5.5823328114905,12.5972882566934,,84.515215794286
GIN,2022,3.97240784200721,10.4930409984424,2.5,68.2857407252463
GIN,2023,5.54172668627702,7.80497591927973,,62.5858649034575
GIN,2024,5.35004659049265,8.12313914948596,,62.9021646623643
GMB,2008,6.25590553394287,4.4436549094501,,21.5140933010006
GMB,2009,6.6657243078367,4.56150687670983,,25.5147337459129
GMB,2010,5.90833580968288,5.04968075857402,2.49,22.8731394015039
GMB,2011,-8.13044422315659,4.7958826618311,,31.4252686514921
GMB,2012,5.24156924630741,4.25432199813899,2.46,35.7595975699698
GMB,2013,2.872768790327,5.69912989637382,,35.1844049043534
GMB,2014,-1.40738249510954,5.94799935696626,2.249081,41.6442408156796
GMB,2015,4.0580738039996,6.8084549457961,,38.8194079432661
GMB,2016,1.94335965478776,7.22879272057922,,29.7053935070257
GMB,2017,4.8226112492757,8.03418974545911,,44.6538490625532
GMB,2018,7.23489033258579,6.52096823946573,2.4,48.9024972414999
GMB,2019,6.22205315994859,7.11567625631192,,41.5745462277864
GMB,2020,0.591487287873974,5.93127636562441,,40.8350009150506
GMB,2021,5.25596878816744,7.37034758876618,,36.839199792676
GMB,2022,5.49299823010114,11.5131198380505,2.3,43.8601558496666
GMB,2023,5.91679576551141,16.9742129632327,,116.443942107717
GMB,2024,5.55126065805138,11.5610532897511,,56.1772351005796
GNB,2008,4.52457514610252,10.4600731354706,,67.5996578272003
GNB,2009,2.44795106098685,-1.65139733620775,,69.6497870129622
GNB,2010,5.60536311358261,2.51785140171701,2.1,62.5457033755995
GNB,2011,8.08504167173554,5.046102263202,,45.0273583431508
GNB,2012,-1.71286958446419,2.13054580274503,2.6,32.5896732912414
GNB,2013,3.25607190852087,1.20712555668405,,33.0725133360306
GNB,2014,0.964525745841428,-1.50924460570494,2.426464,37.524750445498
GNB,2015,6.1340893623123,1.47672048910485,,43.6486385784299
GNB,2016,5.4326782650304,1.50312055861088,2.370681,44.6559708147317
GNB,2017,4.66367943913264,1.69111461822298,,47.075515052961
GNB,2018,3.76145359637003,0.381324702790992,2.39,44.0116604310746
GNB,2019,5.32749571119344,0.24660026814783,,39.7189681245547
GNB,2020,2.89149979806913,1.14000939393222,,33.7231105222779
